"#Populations.cell.cellparams.b:[ 0.,0.01 , 0.02 , 0.03, 0.04 , 0.05 , 0.06 , 0.07,  0.08 , 0.09 , 0.1  , 0.11,  0.12,  0.13 , 0.14 , 0.15 , 0.16 , 0.17,  0.18,  0.19]"
"#Populations.cell.cellparams.a:[  1.,   3.,   5.,   7.,   9.,  11.,  13.,  15.,  17.,  19.,  21.,  23.,  25.,  27.,  29.]"
"[0.15182400000000001, 0.0069288253273470787]","[0.19142000000000006, 0.090634035769425247]","[0.23649999999999999, 0.16136168873026596]","[0.28449230769230771, 0.21700974035928014]","[0.33547272727272726, 0.25854638733729196]","[0.38223333333333337, 0.29468414464480136]","[0.43554999999999999, 0.31675460388521021]","[0.48511428571428566, 0.33604247148633143]","[0.55170000000000008, 0.33225490432442145]","[0.59406666666666663, 0.34976487067327505]","[0.62628000000000006, 0.3711433340047906]","[0.68933999999999995, 0.3592136349463404]","[0.75065999999999988, 0.34710365734248433]","[0.76435000000000008, 0.37591741647182647]","[0.82210000000000027, 0.36693485962813466]","[0.87755000000000005, 0.35837225747704665]","[0.93095000000000017, 0.34906415861488471]","[0.91233333333333333, 0.39135448572756115]","[0.9641333333333334, 0.37662878797438282]","[1.0149666666666668, 0.35937782729102979]"
"[0.15779166666666666, 0.021679735177528973]","[0.20017368421052631, 0.10939650694664552]","[0.24776000000000006, 0.18283700098165218]","[0.29739166666666667, 0.24079502187260124]","[0.34936999999999996, 0.28443643802937502]","[0.40841111111111111, 0.31099295390847037]","[0.46492500000000003, 0.33076652978552906]","[0.51672857142857143, 0.34821963324003224]","[0.5611666666666667, 0.36680512559028616]","[0.62891666666666668, 0.35801258164727978]","[0.66047999999999996, 0.37825067730602591]","[0.72441999999999995, 0.36406777706655469]","[0.7374750000000001, 0.39097980897367418]","[0.79732500000000006, 0.37960269336602348]","[0.85404999999999998, 0.36999161742564507]","[0.90797499999999998, 0.36054789243583862]","[0.95962499999999995, 0.35011850730349336]","[0.93770000000000009, 0.39129890316985783]","[0.98776666666666679, 0.37459060272892464]","[1.0369000000000002, 0.35525036180397879]"
"[0.1645130434782609, 0.037802452114626538]","[0.21005555555555552, 0.13025324588325438]","[0.26024285714285711, 0.20654280058485949]","[0.31898333333333334, 0.26240201708756128]","[0.37546999999999991, 0.30408948218302695]","[0.42302500000000004, 0.34197795271462039]","[0.47827142857142863, 0.36412128934179422]","[0.5529142857142858, 0.35980593132891092]","[0.59818333333333329, 0.37698034364188415]","[0.63085999999999998, 0.398859359207343]","[0.69835999999999998, 0.38413981050204571]","[0.76292000000000004, 0.36779599362478788]","[0.77375000000000005, 0.39468867315004513]","[0.83287500000000014, 0.38270288062636992]","[0.8883749999999998, 0.37240959587441214]","[0.94042499999999996, 0.3620967076273004]","[0.91513333333333347, 0.40603862303778793]","[0.96489999999999998, 0.39016907714620069]","[1.0134000000000001, 0.37121703489000413]","[1.0610000000000002, 0.34962404418925491]"
"[0.17213181818181819, 0.056075267479113816]","[0.22124705882352944, 0.15337316807181367]","[0.27413846153846155, 0.23304558174002962]","[0.33589090909090918, 0.2914252751272553]","[0.39260000000000012, 0.33560236287340922]","[0.4574125, 0.36056011987414877]","[0.51575714285714291, 0.37968262033785255]","[0.56446666666666667, 0.39820445687648581]","[0.64003333333333334, 0.38664255471249237]","[0.67178000000000004, 0.40719049551621933]","[0.74026000000000014, 0.38925755477223534]","[0.75057500000000021, 0.41386613354585639]","[0.81347500000000017, 0.39790378328801462]","[0.87139999999999995, 0.38553566483813106]","[0.92510000000000003, 0.37460834152213568]","[0.89623333333333355, 0.42108566760084337]","[0.94610000000000005, 0.40621701971415486]","[0.99420000000000019, 0.38815040424308944]","[1.0412333333333335, 0.36683574597168467]","[1.0875666666666668, 0.34273341609890906]"
"[0.1808761904761905, 0.07681791298754849]","[0.23405000000000001, 0.18004036491567108]","[0.29703846153846153, 0.26231131159193516]","[0.35387999999999997, 0.32451370951714015]","[0.42851111111111118, 0.3590359087134512]","[0.47289999999999993, 0.39951732134542933]","[0.52641666666666664, 0.42185237235766948]","[0.60970000000000002, 0.41100642230534939]","[0.64402000000000004, 0.43230181607196699]","[0.71777999999999986, 0.41493075021236586]","[0.72687500000000005, 0.43899342185945106]","[0.79474999999999996, 0.41745796349412528]","[0.85717499999999991, 0.40089753965591218]","[0.9135500000000002, 0.38820151224277094]","[0.96499999999999997, 0.37666017557310383]","[0.9318333333333334, 0.42282625477122909]","[0.97986666666666666, 0.40590138008094667]","[1.0263333333333331, 0.38535630282798011]","[1.0721000000000001, 0.36142258794056936]","[1.1174666666666666, 0.33456058941410149]"
"[0.19087000000000004, 0.10082834322504189]","[0.24881999999999999, 0.21094959193671706]","[0.31660833333333332, 0.29754350895821979]","[0.37217777777777777, 0.36272644554669442]","[0.44982500000000009, 0.39992012729704979]","[0.51911428571428575, 0.42196987558943372]","[0.57496666666666674, 0.44054895652632803]","[0.61284000000000005, 0.46097373548283499]","[0.69502000000000019, 0.44390149001060775]","[0.76998000000000022, 0.42220893860402997]","[0.77610000000000012, 0.4440199475451716]","[0.84435000000000027, 0.42091047763652456]","[0.90562500000000024, 0.40420040798379275]","[0.96005000000000018, 0.39121967795655871]","[0.92236666666666689, 0.44028019624692449]","[0.97096666666666664, 0.42464946626381306]","[1.0172000000000001, 0.40543869957828005]","[1.0621000000000003, 0.38226529093105671]","[1.1068333333333336, 0.35530869878787225]","[1.1517000000000002, 0.32542465714657709]"
"[0.20281052631578947, 0.12926441543515796]","[0.26617142857142856, 0.24719455995580367]","[0.33902727272727279, 0.33963535349642288]","[0.41526666666666662, 0.40083121259554116]","[0.46828571428571414, 0.44814642529137433]","[0.53318333333333323, 0.47320218260647279]","[0.63400000000000001, 0.45914890615738368]","[0.67064000000000012, 0.47734820891664975]","[0.75483999999999984, 0.45552672150507784]","[0.75805, 0.47957932943858173]","[0.83332499999999998, 0.4484964009446657]","[0.90202500000000019, 0.42420245360417863]","[0.96150000000000013, 0.40775881168388378]","[0.91933333333333322, 0.45887910320380459]","[0.96930000000000005, 0.44435681070975325]","[1.0156000000000003, 0.42662630098404503]","[1.0598333333333334, 0.40495328875374925]","[1.1035999999999999, 0.37872220805881246]","[1.1479333333333333, 0.34829294176668008]","[1.1927000000000001, 0.31482360633150241]"
"[0.21395294117647057, 0.1597642942589981]","[0.28686153846153845, 0.29222984258378093]","[0.3645000000000001, 0.39107339408215325]","[0.44136250000000005, 0.45581334783972427]","[0.53058571428571433, 0.48610909868860241]","[0.59936666666666671, 0.50378746933068386]","[0.64156000000000002, 0.52122272194842456]","[0.74152000000000018, 0.49455343642460986]","[0.74212500000000003, 0.52373979003273974]","[0.82450000000000012, 0.48848845422375242]","[0.90247500000000003, 0.45316236209143435]","[0.97277500000000006, 0.42911597268548785]","[0.92426666666666657, 0.47995735400265699]","[0.97783333333333367, 0.4658551324201497]","[1.0249666666666666, 0.44969915975803454]","[1.0686000000000002, 0.42981908115897982]","[1.1111, 0.40528180424291371]","[1.1540999999999999, 0.37558218047332637]","[1.1983333333333337, 0.34100392421713188]","[1.244, 0.30314354287834983]"
"[0.23018125, 0.20082069433049848]","[0.31287500000000007, 0.34956980673473775]","[0.3938888888888889, 0.45587352627342459]","[0.46511428571428581, 0.52380999134781359]","[0.55248333333333344, 0.55809546324095327]","[0.60622000000000009, 0.57912860634539487]","[0.72910000000000008, 0.5483126204466694]","[0.73112500000000002, 0.57543632104877662]","[0.82492500000000013, 0.54302560363373165]","[0.91107499999999986, 0.49831734314801485]","[0.86273333333333346, 0.52881961568617586]","[0.9428333333333333, 0.50551521135798683]","[1.0045333333333335, 0.49022870583506511]","[1.0541666666666669, 0.47525069593229136]","[1.0974666666666668, 0.45742242019762402]","[1.1380666666666668, 0.43513793749157997]","[1.1784333333333334, 0.40736647698516948]","[1.2207666666666668, 0.37343476305815637]","[1.2660666666666665, 0.33343350343056849]","[1.1779999999999999, 0.34142614601018689]"
"[0.25057999999999997, 0.2544221773694027]","[0.347409090909091, 0.42840962847801212]","[0.42827499999999991, 0.54381685886829501]","[0.48039999999999999, 0.60874916710804705]","[0.55607999999999991, 0.65152637902489108]","[0.72663999999999995, 0.63812778589106089]","[0.72675000000000012, 0.6486429658814763]","[0.85722499999999979, 0.61486480428309653]","[0.95327499999999998, 0.57105311342381948]","[0.87796666666666667, 0.59232549325979766]","[0.99059999999999981, 0.54355923784289084]","[1.0760000000000001, 0.52132315128503826]","[1.1329666666666667, 0.50686097386560325]","[1.1758333333333331, 0.49109429439198959]","[1.2126000000000003, 0.47147752936019244]","[1.2479, 0.44658839997523592]","[1.2849333333333333, 0.41504800627456079]","[1.1458999999999999, 0.45728248538266852]","[1.21235, 0.39200725862993374]","[1.2879500000000002, 0.32109165728483252]"
"[0.26548461538461543, 0.30708623828778731]","[0.34871111111111103, 0.49065488778261779]","[0.47970000000000007, 0.70597781040592711]","[0.46673999999999999, 0.68918390896727266]","[0.501475, 0.70965626463396836]","[0.41396666666666659, 0.54160976770055536]","[0.30054999999999987, 0.28930294460156347]","[0.36499999999999999, 0.37890410958904075]","[0.47649999999999992, 0.49233997901364152]","[0.69200000000000017, 0.62485549132948015]","[0.28049999999999997, 0.0]","[0.30569999999999986, 0.0]","[0.3362999999999996, 0.0]","[0.37439999999999962, 0.0]","[0.42269999999999985, 0.0]","[0.48569999999999958, 0.0]","[0.57009999999999961, 0.0]","[0.68609999999999971, 0.0]","[0.84999999999999964, 0.0]","[1.0912999999999999, 0.0]"
