"#Populations.cell.cellparams.b:[ 0.,0.05,0.1,0.15 , 0.2 ,  0.25 , 0.3 ,  0.35]"
"#Populations.cell.cellparams.a:[  1.,   3.,   5.,   7.,   9. , 11.,  13.,  15.,  17. , 19. , 21.,  23.,  25.,  27.,  29.]"
"[0.15182400000000001, 0.0069288253273470787]","[0.38223333333333337, 0.29468414464480136]","[0.62628000000000006, 0.3711433340047906]","[0.87755000000000005, 0.35837225747704665]","[1.0650000000000002, 0.34017534879662986]","[1.1899000000000002, 0.28220858895705508]","[1.4109000000000003, 0.2007938195478064]","[1.5988000000000002, 0.1528021015761821]"
"[0.15779166666666666, 0.021679735177528973]","[0.40841111111111111, 0.31099295390847037]","[0.66047999999999996, 0.37825067730602591]","[0.90797499999999998, 0.36054789243583862]","[1.0853333333333335, 0.33401058890670232]","[1.20445, 0.26663622400265669]","[1.4119000000000002, 0.18563637651391723]","[1.5823, 0.13948050306515852]"
"[0.1645130434782609, 0.037802452114626538]","[0.42302500000000004, 0.34197795271462039]","[0.69835999999999998, 0.38413981050204571]","[0.94042499999999996, 0.3620967076273004]","[1.1079333333333337, 0.32616890472118848]","[1.22265, 0.24982619719461807]","[1.4170499999999999, 0.17045975794784937]","[1.5713000000000001, 0.12664672564118887]"
"[0.17213181818181819, 0.056075267479113816]","[0.4574125, 0.36056011987414877]","[0.74026000000000014, 0.38925755477223534]","[0.89623333333333355, 0.42108566760084337]","[1.1333000000000002, 0.31697015002603096]","[1.2447000000000004, 0.23218446211938626]","[1.42625, 0.15540753724802797]","[1.5655500000000004, 0.11430487688032981]"
"[0.1808761904761905, 0.07681791298754849]","[0.47289999999999993, 0.39951732134542933]","[0.72687500000000005, 0.43899342185945106]","[0.9318333333333334, 0.42282625477122909]","[1.1623000000000003, 0.30625905125434755]","[1.2714000000000001, 0.21370143149284238]","[1.44025, 0.14035757680958186]","[1.5653000000000004, 0.10228071296237148]"
"[0.19087000000000004, 0.10082834322504189]","[0.51911428571428575, 0.42196987558943372]","[0.77610000000000012, 0.4440199475451716]","[0.97096666666666664, 0.42464946626381306]","[1.1960999999999999, 0.29435067539649112]","[1.3039500000000002, 0.19452432992062554]","[1.4597, 0.12529971912036708]","[1.5711000000000002, 0.090446184202151003]"
"[0.20281052631578947, 0.12926441543515796]","[0.53318333333333323, 0.47320218260647279]","[0.83332499999999998, 0.4484964009446657]","[1.0156000000000003, 0.42662630098404503]","[1.237233333333333, 0.28052444418214945]","[1.3447499999999997, 0.17397285740844018]","[1.4871999999999999, 0.10973641742872484]","[1.5847500000000003, 0.078340432244833821]"
"[0.21395294117647057, 0.1597642942589981]","[0.59936666666666671, 0.50378746933068386]","[0.90247500000000003, 0.45316236209143435]","[1.0686000000000002, 0.42981908115897982]","[1.2894666666666665, 0.26495583451512039]","[1.3983500000000004, 0.1515714949762223]","[1.5260999999999998, 0.093047637769477554]","[1.6094000000000006, 0.065428109854604691]"
"[0.23018125, 0.20082069433049848]","[0.60622000000000009, 0.57912860634539487]","[0.86273333333333346, 0.52881961568617586]","[1.1380666666666668, 0.43513793749157997]","[1.24335, 0.2854787469336873]","[1.4754499999999999, 0.12474160425632862]","[1.58575, 0.07337222134636591]","[1.6525500000000002, 0.050195152945448122]"
"[0.25057999999999997, 0.2544221773694027]","[0.72663999999999995, 0.63812778589106089]","[0.99059999999999981, 0.54355923784289084]","[1.2479, 0.44658839997523592]","[1.3669499999999999, 0.25286221149273919]","[1.6112999999999997, 0.084155650716812219]","[1.6939000000000004, 0.043922309463368822]","[1.7360499999999999, 0.027562570202470972]"
"[0.26548461538461543, 0.30708623828778731]","[0.41396666666666659, 0.54160976770055536]","[0.28049999999999997, 0.0]","[0.48569999999999958, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[0.29925000000000002, 0.41398650363632594]","[0.26770000000000005, 0.23608516996637913]","[0.28659999999999997, 0.0]","[0.51719999999999988, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[0.30475000000000002, 0.47135366529878808]","[0.27824999999999989, 0.25570530098831934]","[0.29329999999999989, 0.0]","[0.56069999999999975, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[0.27832499999999999, 0.40213319405226933]","[0.29105000000000003, 0.27881807249613411]","[0.30080000000000018, 0.0]","[0.63290000000000024, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
"[0.27794285714285716, 0.41057028464200113]","[0.30620000000000003, 0.30568256041802855]","[0.30859999999999976, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
