"#Populations.cell.cellparams.b:[0.001,0.005,0.009,0.013,0.017,0.021,0.025,0.029,0.033,0.037,0.041,0.045,0.049,0.053,0.057,0.061,0.065,0.069,0.073,0.077]"
"#Populations.cell.cellparams.a:[0.001,2.001,4.001,6.001,8.001,10.001,12.001,14.001,16.001,18.001,20.001,22.001,24.001,26.001,28.001,30.001,32.001,34.001,36.001,38.001,40.001,42.001,44.001,46.001,48.001]"
"[20, 0.19837894736842104, 0.016947115949829249]","[17, 0.22661875000000009, 0.084560488874803927]","[15, 0.25889999999999996, 0.15500696158089119]","[13, 0.29200000000000009, 0.22149279831353419]","[12, 0.33803636363636369, 0.30208167361385152]","[10, 0.36013333333333342, 0.34382282128689778]","[9, 0.39893750000000017, 0.40450539667635788]","[8, 0.42879999999999996, 0.44999334305334387]","[8, 0.52804285714285726, 0.54488871670406414]","[7, 0.53885000000000038, 0.57041908435644983]","[6, 0.51314000000000026, 0.55987883932620774]","[6, 0.62204000000000048, 0.64222651053358715]","[6, 0.74064000000000019, 0.67806290795297763]","[5, 0.63477500000000031, 0.66235929147542494]","[5, 0.75105000000000022, 0.71638819731717762]","[5, 0.86957500000000021, 0.7323607822717626]","[4, 0.62416666666666742, 0.62177078931101171]","[4, 0.73376666666666723, 0.69217058543882215]","[4, 0.84950000000000025, 0.74127690919044786]","[4, 0.96473333333333322, 0.76930748129192139]"
"[20, 0.19540526315789472, 0.030617066888072125]","[18, 0.2251529411764705, 0.10446180170128505]","[15, 0.2541214285714285, 0.17127220430593657]","[13, 0.28590833333333326, 0.23925973740368733]","[12, 0.33155454545454544, 0.32547465826595451]","[11, 0.38408999999999976, 0.41082709305235976]","[9, 0.38716249999999985, 0.4273971517195217]","[8, 0.4137571428571426, 0.47217966925431015]","[8, 0.51824285714285701, 0.58824422765216422]","[7, 0.52195000000000003, 0.60744292789341814]","[6, 0.4858599999999999, 0.57539213537462908]","[6, 0.59934000000000009, 0.68266459943031399]","[6, 0.72650000000000003, 0.73442197113636054]","[5, 0.59647499999999987, 0.680221582460384]","[5, 0.71934999999999993, 0.75808763820779024]","[5, 0.84542500000000009, 0.7902387694662969]","[4, 0.56503333333333339, 0.60513577694435194]","[4, 0.67369999999999963, 0.6917459840686625]","[4, 0.79556666666666642, 0.75870716215169876]","[4, 0.91869999999999941, 0.80132500203995904]"
"[20, 0.19464210526315798, 0.042202837455193348]","[18, 0.22462941176470597, 0.11873293206995748]","[15, 0.25327857142857152, 0.18700603659324244]","[13, 0.28492500000000004, 0.257289414768192]","[12, 0.3319545454545455, 0.35032317070755903]","[11, 0.38758000000000015, 0.44684494146504961]","[9, 0.38537500000000025, 0.4535886014920909]","[8, 0.41051428571428594, 0.49819416417357687]","[8, 0.52417142857142862, 0.63415533925509415]","[7, 0.52203333333333379, 0.64710446868528959]","[6, 0.47612000000000021, 0.59525142942885445]","[6, 0.59758000000000033, 0.723100272647764]","[6, 0.7356400000000004, 0.7861050281056492]","[5, 0.58215000000000039, 0.69996960144840281]","[5, 0.71412500000000012, 0.79517224748559567]","[5, 0.84937500000000066, 0.83814016495395305]","[4, 0.53553333333333342, 0.59796531443747603]","[4, 0.64520000000000033, 0.69499701238647238]","[4, 0.77480000000000027, 0.77479331295618448]","[4, 0.90736666666666765, 0.82731248097152443]"
"[20, 0.19566315789473679, 0.053046734848734227]","[18, 0.22658823529411767, 0.13306907865690848]","[15, 0.25573571428571423, 0.20382845313643963]","[13, 0.28833333333333327, 0.2778825969347018]","[12, 0.33867272727272718, 0.37980650407162991]","[10, 0.35422222222222211, 0.41518382576950269]","[9, 0.39283749999999995, 0.48715295164179334]","[8, 0.41805714285714274, 0.53286178157916697]","[8, 0.54667142857142836, 0.68820887096224725]","[7, 0.53913333333333335, 0.69628846701832192]","[6, 0.48171999999999998, 0.62626287719696461]","[6, 0.61668000000000023, 0.77120715652502414]","[6, 0.76849999999999985, 0.83705470506678969]","[5, 0.58979999999999988, 0.73044814237696964]","[5, 0.73487499999999972, 0.83666483577203188]","[5, 0.88080000000000025, 0.88280159652203072]","[4, 0.52833333333333299, 0.60424478112394986]","[4, 0.64416666666666644, 0.70988417355580669]","[4, 0.78536666666666655, 0.7983878301202092]","[4, 0.92943333333333378, 0.85558355298033995]"
"[20, 0.19822105263157902, 0.063783461578349271]","[17, 0.22693750000000013, 0.13929852977029764]","[15, 0.26122142857142855, 0.22291288227860037]","[13, 0.29593333333333344, 0.30252069735593784]","[12, 0.35210909090909082, 0.41746952263898174]","[10, 0.36717777777777783, 0.45244524834130823]","[9, 0.41012500000000007, 0.5328122822931135]","[8, 0.43712857142857153, 0.58129604276917546]","[7, 0.43423333333333325, 0.57643148260007904]","[7, 0.57573333333333332, 0.76041241711683782]","[6, 0.50320000000000031, 0.67329973641069885]","[6, 0.65905999999999987, 0.83150919628615427]","[5, 0.48570000000000002, 0.62158540820543562]","[5, 0.62044999999999995, 0.77684497909482053]","[5, 0.7833249999999996, 0.88658092338427053]","[5, 0.94097500000000034, 0.92721731840114274]","[4, 0.54006666666666625, 0.62513046761367708]","[4, 0.67003333333333315, 0.73977177522636084]","[4, 0.82886666666666697, 0.83278156897126476]","[4, 0.9860000000000001, 0.88930934264943484]"
"[20, 0.20224736842105256, 0.075020006344876614]","[17, 0.23266874999999998, 0.15490327838145565]","[15, 0.2699071428571429, 0.24584525433065482]","[13, 0.3081833333333332, 0.33364339688869676]","[11, 0.33587000000000006, 0.39555313660735619]","[10, 0.3894111111111111, 0.50395239668696967]","[9, 0.44057499999999994, 0.59766020721460567]","[8, 0.47165714285714294, 0.65117495910922929]","[7, 0.46456666666666663, 0.63866167393612572]","[7, 0.63866666666666683, 0.84226210393697054]","[6, 0.54547999999999985, 0.74312253494222635]","[6, 0.73083999999999993, 0.90467582529947077]","[5, 0.51689999999999969, 0.67176865387372475]","[5, 0.68057500000000015, 0.84291135281254126]","[5, 0.86480000000000024, 0.94495213525168598]","[4, 0.46849999999999942, 0.54479515650631605]","[4, 0.5726666666666661, 0.66287778452697255]","[4, 0.72876666666666701, 0.78720673545787345]","[4, 0.91189999999999982, 0.87887663425690465]","[4, 1.0819999999999996, 0.92865587446185949]"
"[20, 0.34776315789473672, 1.7434822180743936]","[18, 0.39826470588235297, 1.586959034371249]","[15, 0.46165714285714288, 1.4855423835224779]","[13, 0.52630833333333327, 1.3866158381062512]","[12, 0.60350000000000004, 1.2470419163459752]","[10, 0.65848888888888879, 1.2444456081972943]","[9, 0.72602500000000014, 1.1820109068172855]","[8, 0.78125714285714287, 1.1571112651600455]","[8, 0.93487142857142858, 0.99609510535813051]","[7, 0.93385000000000018, 1.0265660955974183]","[7, 1.1235333333333333, 0.9168169548990428]","[6, 1.0318199999999997, 0.98206428564168935]","[6, 1.2072399999999999, 0.87825467814710201]","[5, 1.0777749999999999, 1.0168451541805781]","[5, 1.1612999999999998, 0.92566315586601766]","[5, 1.3036999999999996, 0.82428967481093596]","[5, 1.4852250000000002, 0.7650011007394445]","[5, 1.6466499999999997, 0.74687734907373671]","[4, 1.3045666666666669, 0.90440929902914147]","[4, 1.3570666666666664, 0.84977895610110454]"
"[20, 0.37596842105263156, 1.8722906397383834]","[17, 0.43736249999999999, 1.7295911761773697]","[15, 0.50233571428571433, 1.5869530417071842]","[13, 0.57489999999999997, 1.4764139220600121]","[11, 0.64515000000000011, 1.4213399857669489]","[10, 0.72344444444444433, 1.3192648848493507]","[9, 0.79957500000000015, 1.2511167189343622]","[8, 0.85821428571428571, 1.2280073429002103]","[7, 0.90116666666666667, 1.2445129286781662]","[7, 1.0303833333333332, 1.0863514964824683]","[6, 1.0161200000000001, 1.1770979405240374]","[6, 1.1264000000000003, 1.0493352657182291]","[6, 1.339, 0.92656486624074641]","[5, 1.1765499999999998, 1.0928875088588963]","[5, 1.2561249999999999, 1.004129074358654]","[5, 1.4059249999999999, 0.88820257976507733]","[5, 1.6256249999999999, 0.80658462820956933]","[4, 1.3960666666666668, 1.0116551472648276]","[4, 1.4273666666666667, 0.97670749947995128]","[4, 1.4704666666666661, 0.93180237274552113]"
"[19, 0.39816111111111108, 1.8945084414878348]","[17, 0.45587499999999997, 1.7314245853636676]","[15, 0.52705000000000013, 1.5776981906027927]","[13, 0.60690833333333338, 1.4591985787287065]","[11, 0.68080000000000007, 1.4056193087757445]","[10, 0.77283333333333348, 1.2925113426541128]","[9, 0.86101250000000007, 1.220712065632285]","[8, 0.91612857142857163, 1.2050813674742187]","[7, 0.94468333333333365, 1.238857488290251]","[7, 1.1321333333333332, 1.0569610298122354]","[6, 1.0598399999999999, 1.1775943406367331]","[6, 1.20546, 1.02978291350092]","[5, 1.1686749999999997, 1.1668762178514391]","[5, 1.2195250000000002, 1.1012154846734736]","[5, 1.3107250000000004, 1.0043819739556559]","[5, 1.512275, 0.87079815068437449]","[5, 1.8245000000000002, 0.80669352435411079]","[4, 1.4414333333333333, 1.0254061533029688]","[4, 1.4722999999999997, 0.99151684764885584]","[4, 1.5150999999999994, 0.94757744664127985]"
"[20, 0.38519473684210526, 1.5600983941409285]","[17, 0.44666250000000007, 1.3805614994166724]","[14, 0.55408461538461529, 1.5935409048450238]","[12, 0.62899090909090916, 1.5043765908381674]","[11, 0.72416000000000003, 1.355426091333213]","[9, 0.77201249999999977, 1.3983878227488704]","[8, 0.8381428571428573, 1.3586592455216722]","[8, 1.0136999999999998, 1.142551412028312]","[7, 0.99275000000000002, 1.2070775011293942]","[6, 1.0238000000000003, 1.2663997237506026]","[6, 1.10338, 1.1565262794747431]","[6, 1.3687599999999995, 0.97114408351217751]","[5, 1.1980249999999999, 1.1652004541342968]","[5, 1.2557999999999998, 1.0934647822727557]","[5, 1.3732249999999997, 0.97944952984024958]","[5, 1.8499500000000002, 0.82228641303497618]","[4, 1.4477999999999998, 1.0565580112186024]","[4, 1.4718333333333333, 1.0293663969771969]","[4, 1.5036999999999996, 0.99495634622142592]","[4, 1.5486666666666664, 0.94962908508675559]"
