"#Populations.cell.cellparams.cm:[0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96]"
"#Populations.cell.cellparams.b:[0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38]"
"[116, 0.034700000000000002, 1.0907324161117805e-14]","[53, 0.074799999999999991, 5.9931737389599773e-15]","[35, 0.11490000000000002, 4.1378987021970493e-15]","[25, 0.158, 2.8088607284470803e-15]","[19, 0.2054, 2.5452356862808805e-15]","[15, 0.25900000000000001, 2.0937252051336755e-15]","[12, 0.32090000000000002, 1.3789634727685292e-15]","[10, 0.39459999999999995, 1.1600524071267709e-15]","[8, 0.48530000000000001, 5.8485265757793634e-16]","[6, 0.60260000000000002, 5.9415228560395751e-16]","[5, 0.76569999999999994, 2.5113787206263078e-16]","[3, 1.0219999999999998, 4.3452955954017876e-16]","[2, 1.5421, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[20, 0.19843157894736843, 1.0058703428898281]","[17, 0.23468125000000004, 0.6905451695746041]","[14, 0.26426153846153844, 0.49328158986659681]","[12, 0.31575454545454551, 0.38842016926938]","[10, 0.36751111111111112, 0.31392294905063983]","[9, 0.45099999999999996, 0.28762693124416255]","[7, 0.50653333333333339, 0.22893261479534202]","[6, 0.60899999999999987, 0.20966089271223048]","[5, 0.73340000000000027, 0.19015868344626663]","[4, 0.89170000000000027, 0.16709101250014902]","[3, 1.1061500000000002, 0.13131130497672114]","[2, 1.4256000000000002, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[10, 0.34282222222222225, 1.1676556745636575]","[9, 0.40202500000000002, 0.92854114654415476]","[8, 0.44847142857142858, 0.77979589189571852]","[7, 0.48944999999999994, 0.65423684242034186]","[6, 0.52668000000000004, 0.53177886418534681]","[6, 0.72618000000000005, 0.5354896084261288]","[5, 0.7828750000000001, 0.45734845099318699]","[4, 0.82900000000000018, 0.35535845446938141]","[3, 0.86525000000000007, 0.22635076567466059]","[3, 1.2854500000000002, 0.29938931891555476]","[2, 1.3232000000000004, 0.0]","[2, 2.4604999999999997, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[7, 0.49206666666666671, 1.2108816627056387]","[6, 0.50252000000000008, 1.0505817456494631]","[6, 0.68724000000000018, 0.85265105758619308]","[5, 0.65459999999999996, 0.78493317807990526]","[5, 0.89312500000000006, 0.71130799427677682]","[4, 0.8196, 0.58410252824566511]","[4, 1.1656333333333335, 0.60147588158565524]","[3, 1.0076500000000002, 0.38599712201657371]","[3, 1.5601500000000001, 0.46165432810947665]","[2, 1.2298000000000004, 0.0]","[2, 2.1404000000000001, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[6, 0.74428000000000005, 1.0901697068916911]","[5, 0.72067500000000007, 1.0206509825845562]","[5, 0.94992500000000024, 0.83503091977425936]","[4, 0.82006666666666661, 0.81988428954114456]","[4, 1.1150333333333333, 0.76093419106168514]","[3, 0.80424999999999991, 0.47615791109729555]","[3, 1.2265000000000004, 0.53901345291479841]","[3, 1.7858000000000003, 0.56428491432411265]","[2, 1.1422000000000003, 0.0]","[2, 1.9138000000000006, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[5, 0.91457500000000003, 0.98165931752348856]","[4, 0.77283333333333326, 1.0768939955498034]","[4, 1.0384, 0.92880297011515622]","[3, 0.6282500000000002, 0.58280939116593689]","[3, 0.98795000000000033, 0.6279163925299861]","[3, 1.4201999999999999, 0.64202225038726946]","[2, 0.71409999999999973, 0.0]","[2, 1.0577000000000001, 0.0]","[2, 1.7356999999999996, 0.0]","[2, 3.036, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[4, 0.88593333333333346, 1.2468547348123251]","[4, 1.1996, 0.91896334462901252]","[3, 0.78480000000000016, 0.74069826707441389]","[3, 1.1493, 0.73192377969198641]","[3, 1.5494999999999999, 0.71190706679574045]","[2, 0.64650000000000007, 0.0]","[2, 0.97409999999999997, 0.0]","[2, 1.5858000000000003, 0.0]","[2, 2.6602000000000006, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[4, 1.2979000000000001, 0.8821602059581467]","[3, 0.90529999999999999, 0.85054678007290407]","[3, 1.2559500000000001, 0.80851148532982975]","[3, 1.6294999999999999, 0.76839521325559978]","[2, 0.57340000000000035, 0.0]","[2, 0.8891, 0.0]","[2, 1.4533, 0.0]","[2, 2.3765000000000005, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[3, 0.94524999999999992, 0.948056069822798]","[3, 1.3125000000000002, 0.87794285714285702]","[3, 1.6712000000000005, 0.82186452848252745]","[2, 0.49180000000000001, 0.0]","[2, 0.80010000000000003, 0.0]","[2, 1.331, 0.0]","[2, 2.1480000000000001, 0.0]","[2, 3.1683999999999997, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
"[3, 1.3001000000000003, 0.95754172755941835]","[3, 1.6759999999999999, 0.88042959427207623]","[2, 0.39620000000000033, 0.0]","[2, 0.70290000000000008, 0.0]","[2, 1.2134000000000005, 0.0]","[2, 1.9544000000000006, 0.0]","[2, 2.8465000000000003, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
