"#Populations.cell.cellparams.tau_w:[0.01,40.01,80.01,120.01,160.01,200.01,240.01,280.01,320.01,360.01,400.01,440.01,480.01,520.01,560.01,600.01,640.01,680.01,720.01,760.01]"
"#Populations.cell.cellparams.cm:[0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.34,0.37,0.4,0.43,0.46,0.49,0.52,0.55,0.58]"
"[116, 0.034700000000000002, 1.0907324161117805e-14]","[109, 0.036680555555555557, 0.012495725898883691]","[103, 0.038924509803921571, 0.037761717777071768]","[97, 0.041139583333333334, 0.069042720022117102]","[93, 0.04332934782608696, 0.1034863070396814]","[88, 0.045296551724137928, 0.13851391602127791]","[85, 0.047255952380952378, 0.17391050162092273]","[82, 0.049023456790123467, 0.20851554965279992]","[79, 0.050538461538461532, 0.24090933903663023]","[77, 0.052089473684210533, 0.27332160805109224]","[75, 0.053432432432432432, 0.30361193812786696]","[73, 0.054520833333333331, 0.33138955680440541]","[72, 0.055952112676056341, 0.36172004212164371]","[70, 0.056540579710144936, 0.38384024377656095]","[69, 0.057620588235294118, 0.41014627149209726]","[68, 0.058541791044776123, 0.43463737131818492]","[67, 0.059301515151515161, 0.45720611564315244]","[66, 0.059878461538461533, 0.4774303451105783]","[65, 0.060267187499999993, 0.49522864331970307]","[65, 0.061864062500000004, 0.52615573654967507]"
"[68, 0.059000000000000011, 6.8261261567013413e-15]","[64, 0.063004761904761911, 0.013501572170425876]","[60, 0.066572881355932187, 0.035764036701550379]","[58, 0.069621052631578959, 0.059068959151388913]","[56, 0.072132727272727279, 0.080577531685548334]","[54, 0.074164150943396234, 0.10006466837565074]","[53, 0.075976923076923081, 0.11779075771176543]","[52, 0.077499999999999999, 0.13348374532145321]","[51, 0.078759999999999997, 0.14743429285205187]","[50, 0.079763265306122447, 0.15943340524173294]","[49, 0.080554166666666677, 0.16965171853880937]","[49, 0.081689583333333329, 0.18138345324665103]","[48, 0.082123404255319138, 0.18881182742067096]","[48, 0.083078723404255317, 0.1988728871153588]","[48, 0.083959574468085107, 0.20842512257987039]","[47, 0.083997826086956509, 0.21223386826014998]","[47, 0.084734782608695644, 0.22039991312489066]","[47, 0.085430434782608686, 0.22814544810310819]","[47, 0.086095652173913045, 0.23555577887178805]","[46, 0.085735555555555551, 0.23541644124754948]"
"[48, 0.08270000000000001, 6.2623482899402611e-15]","[46, 0.087575555555555573, 0.011434320462860376]","[44, 0.091802325581395366, 0.03029924527894098]","[42, 0.095124390243902443, 0.048734617544571542]","[41, 0.097870000000000013, 0.06566101022183074]","[40, 0.10004102564102564, 0.080386344455281186]","[39, 0.10176315789473686, 0.093035106742976437]","[39, 0.10349473684210526, 0.10486136787608992]","[38, 0.10453513513513513, 0.11402677626110973]","[38, 0.10583243243243246, 0.1234195176265315]","[37, 0.10637500000000001, 0.1294056316312156]","[37, 0.10738055555555556, 0.13700075141491602]","[37, 0.10829166666666667, 0.14392666231327539]","[37, 0.10912777777777778, 0.1502928817222815]","[36, 0.10902000000000002, 0.1521869648984758]","[36, 0.10966285714285716, 0.15736292120305043]","[36, 0.11027428571428573, 0.16210219048629493]","[36, 0.11083428571428572, 0.16666198342495336]","[36, 0.11136285714285715, 0.17081560902354348]","[36, 0.11184000000000001, 0.17468352945465873]"
"[37, 0.10669999999999998, 3.1601265642845392e-15]","[36, 0.11268571428571431, 0.023615809761931148]","[34, 0.11692424242424243, 0.025724960535280415]","[33, 0.12058437499999999, 0.041595207389715401]","[32, 0.12340645161290324, 0.055594592854365008]","[32, 0.12589032258064514, 0.068033783612741303]","[31, 0.12756333333333333, 0.077995410355071695]","[31, 0.12930333333333338, 0.08741615048850139]","[31, 0.13087666666666667, 0.096534388009526503]","[30, 0.1314241379310345, 0.10129000013137096]","[30, 0.13252758620689656, 0.10773661318879794]","[30, 0.13350344827586211, 0.11342442696459988]","[30, 0.13439999999999999, 0.11862931949949616]","[30, 0.13520689655172416, 0.12357921032101141]","[29, 0.13486071428571431, 0.124010740882746]","[29, 0.13547500000000001, 0.12788881303397442]","[29, 0.13603571428571432, 0.13132282396188605]","[29, 0.1365464285714286, 0.13460029917705907]","[29, 0.1370214285714286, 0.1375338856733275]","[29, 0.13746428571428576, 0.14038667058556231]"
"[30, 0.13170000000000001, 3.4378720937260748e-15]","[29, 0.13782500000000003, 0.0083125912610681561]","[28, 0.14287777777777777, 0.022394604625748615]","[27, 0.14676538461538463, 0.036255137540724243]","[27, 0.15006153846153847, 0.049135821230154281]","[26, 0.15221200000000004, 0.05886184109173679]","[26, 0.15434400000000001, 0.068066024697927593]","[26, 0.15643200000000002, 0.078903222749151541]","[25, 0.15693333333333329, 0.081423925326191707]","[25, 0.15819583333333334, 0.087392773734245754]","[25, 0.1593, 0.09263106509894653]","[25, 0.16029166666666669, 0.097409683668009867]","[25, 0.16116666666666668, 0.10166948671796293]","[25, 0.16195416666666665, 0.10557805239257732]","[25, 0.16302083333333331, 0.11286664522689124]","[24, 0.16198695652173911, 0.10831673154588367]","[24, 0.16250869565217388, 0.11103970546409675]","[24, 0.16301739130434784, 0.11356468671113361]","[24, 0.16345217391304348, 0.11590657155334744]","[24, 0.16387391304347829, 0.11803845216361628]"
"[25, 0.158, 2.8088607284470803e-15]","[24, 0.16458695652173913, 0.0073224003669081598]","[23, 0.16994999999999999, 0.019943445253764153]","[23, 0.17422727272727276, 0.032233192800609815]","[22, 0.17725238095238097, 0.042942632988447943]","[22, 0.17990476190476196, 0.052265205105754144]","[22, 0.18212380952380955, 0.060252566716535318]","[22, 0.18398571428571428, 0.067230246214203052]","[21, 0.18461, 0.071593313086495261]","[21, 0.18589500000000003, 0.07661690205147878]","[21, 0.18699499999999999, 0.080957821534571608]","[21, 0.18796499999999999, 0.084959357087048951]","[21, 0.18883500000000003, 0.088568222350808343]","[21, 0.189605, 0.091780260507523831]","[21, 0.19029499999999999, 0.094661984936194196]","[21, 0.19092499999999998, 0.097313088769925393]","[21, 0.191495, 0.099668546263721972]","[21, 0.19202000000000002, 0.10192334577002875]","[21, 0.19248999999999999, 0.10402207404810133]","[21, 0.19293000000000002, 0.1058911980293569]"
"[21, 0.18579999999999999, 2.5605332781782977e-15]","[21, 0.19423499999999999, 0.030038304751437879]","[20, 0.19872105263157894, 0.017808347271165374]","[20, 0.20821052631578948, 0.10981132577333994]","[19, 0.20647777777777779, 0.03875166613841588]","[19, 0.20929999999999999, 0.047118122959786707]","[19, 0.21162222222222224, 0.054299312351100755]","[19, 0.21361111111111117, 0.060815807719790962]","[18, 0.21401176470588235, 0.064051151459157171]","[18, 0.21532941176470588, 0.068524816223143714]","[18, 0.2164529411764706, 0.072324485869240132]","[18, 0.21743529411764706, 0.075781844496189785]","[18, 0.21831764705882356, 0.078778840131237399]","[18, 0.21907647058823529, 0.081602915383085964]","[18, 0.21977647058823527, 0.084089010167345338]","[18, 0.22039999999999998, 0.086445366983927602]","[18, 0.22097058823529414, 0.088483611908649118]","[18, 0.22148823529411765, 0.090358368741228115]","[18, 0.22195882352941179, 0.092129920850321123]","[18, 0.22238823529411766, 0.093663162231245559]"
"[18, 0.21560000000000001, 1.5994067945042903e-15]","[18, 0.22323529411764703, 0.0056598925832237346]","[17, 0.2293625, 0.01620139135232954]","[17, 0.23416250000000002, 0.026382405925983753]","[17, 0.23796874999999998, 0.035496341818699144]","[16, 0.24018666666666671, 0.042523497088063085]","[16, 0.24248666666666668, 0.048869592407324212]","[16, 0.24443333333333331, 0.054272179030824347]","[16, 0.24606000000000003, 0.058904102912882131]","[16, 0.24744666666666673, 0.063049909572448437]","[16, 0.24866000000000002, 0.06661777658106513]","[16, 0.24971333333333337, 0.069845542961529117]","[16, 0.25065333333333334, 0.072638132788865814]","[16, 0.25147333333333338, 0.075185959050668896]","[16, 0.25221333333333334, 0.077517935104267591]","[16, 0.25288666666666665, 0.079565140196573153]","[16, 0.25348666666666669, 0.081479895564743374]","[16, 0.2540466666666667, 0.083213699324152804]","[16, 0.25467999999999996, 0.085631971640260707]","[16, 0.25568000000000002, 0.090788557172807038]"
"[16, 0.2477, 1.0282063405026474e-15]","[15, 0.25583571428571428, 0.0050719427544019431]","[15, 0.26247142857142858, 0.014777895400028511]","[15, 0.26761428571428569, 0.024284523105287302]","[15, 0.27518571428571431, 0.063766993725692264]","[14, 0.27392307692307694, 0.0390887310231764]","[14, 0.27634615384615385, 0.044869601824635071]","[14, 0.27836923076923076, 0.049800879246394092]","[14, 0.28006923076923085, 0.054088285407040387]","[14, 0.28151538461538467, 0.057761673670762279]","[14, 0.28276153846153851, 0.061017596529329227]","[14, 0.2838615384615385, 0.063925425425499907]","[14, 0.28480000000000005, 0.0664786557643465]","[14, 0.28566923076923084, 0.068729195388169212]","[14, 0.28642307692307695, 0.070792324422454658]","[14, 0.28711538461538466, 0.072702648519868449]","[14, 0.28772307692307691, 0.074371469111323432]","[14, 0.28828461538461542, 0.075921540737916446]","[14, 0.28879230769230763, 0.07736859153917279]","[14, 0.28926923076923078, 0.078658233379873002]"
"[14, 0.28260000000000002, 1.6853587858080711e-15]","[13, 0.29132500000000006, 0.0046225967956864287]","[13, 0.29839166666666661, 0.013545816468284615]","[13, 0.30385000000000001, 0.022390149000843601]","[13, 0.30810833333333337, 0.030174141195018139]","[13, 0.31149999999999994, 0.036751665985139299]","[13, 0.31991666666666668, 0.083874957725347574]","[12, 0.31473636363636359, 0.045516537254944964]","[12, 0.31642727272727272, 0.049222850009115873]","[12, 0.31789090909090906, 0.05254127150589942]","[12, 0.31913636363636361, 0.055371788587395693]","[12, 0.32020909090909094, 0.057861077301628212]","[12, 0.32113636363636372, 0.06013306597319705]","[12, 0.3219818181818182, 0.062088878303413808]","[12, 0.32273636363636365, 0.06391503951771367]","[12, 0.32339090909090912, 0.065553938570245912]","[12, 0.32400000000000001, 0.066915091861117396]","[12, 0.32454545454545458, 0.068252206833566531]","[12, 0.32502727272727278, 0.069494385636065512]","[12, 0.32550909090909086, 0.070610988530746266]"
