"#Populations.cell.cellparams.b:[ 0.,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048]"
"#Populations.cell.cellparams.a:[8.,10.,12.,14.,16.,18.,20.,22.,24.,26.,28.]"
"[0.17705909090909089, 0.069319497851800208]","[0.18553999999999998, 0.086806274310451292]","[0.19535263157894733, 0.10754772597564129]","[0.20543888888888887, 0.12777892094428642]","[0.21577058823529405, 0.14712767255857723]","[0.22980588235294117, 0.17203952363588054]","[0.23956249999999996, 0.18427850076830199]","[0.24999333333333335, 0.20113552865377773]","[0.26010714285714281, 0.21737523295907984]","[0.27527142857142856, 0.23248037701750318]","[0.28489230769230767, 0.24728178025013298]","[0.29350000000000004, 0.26163793167918675]","[0.30956666666666671, 0.2732701969683784]","[0.31679090909090912, 0.28686048406842302]","[0.33340909090909088, 0.29657035068808607]","[0.35038181818181813, 0.30436085816365421]","[0.35557000000000005, 0.31796535372196133]","[0.37270000000000003, 0.32414815170659228]","[0.37527777777777771, 0.33825345130225132]","[0.39239999999999992, 0.34346209929024613]","[0.40958888888888889, 0.3473494839945972]","[0.42688888888888893, 0.35004149986198163]","[0.4255374999999999, 0.36614280269046173]","[0.44254999999999989, 0.36836874024178651]","[0.45981249999999996, 0.36953556335506543]"
"[0.18515999999999999, 0.087616726838632086]","[0.19553684210526318, 0.11048769519519151]","[0.20623333333333335, 0.132497619292438]","[0.21716470588235298, 0.15382650217887053]","[0.22821250000000004, 0.17420235496758441]","[0.2442125, 0.20122998141504983]","[0.25457333333333332, 0.21403083174408322]","[0.26553571428571426, 0.23170423969122711]","[0.27569230769230774, 0.24857494658688217]","[0.2927538461538462, 0.26471694677073432]","[0.30208333333333331, 0.27970392363878255]","[0.3201, 0.29291242108636834]","[0.32770000000000005, 0.3072627718576742]","[0.34633636363636366, 0.31768716894952365]","[0.35194999999999999, 0.33160247532485565]","[0.37080000000000002, 0.33986463763919916]","[0.37328888888888895, 0.35408043198303474]","[0.39221111111111107, 0.36084585821041421]","[0.41115555555555555, 0.36578012781704544]","[0.43018888888888895, 0.36912627157701117]","[0.42808749999999995, 0.3855808981606067]","[0.44698749999999998, 0.38834094760537263]","[0.46591249999999995, 0.38976842072657403]","[0.4847125000000001, 0.39037789260164868]","[0.47615714285714283, 0.41024568734927719]"
"[0.19581578947368419, 0.11336523129798068]","[0.20725555555555553, 0.13795313283268115]","[0.21897647058823533, 0.16164781268105088]","[0.23098750000000004, 0.18457107707878329]","[0.24274666666666667, 0.2060662148409203]","[0.2542428571428571, 0.22668999350428612]","[0.27202857142857145, 0.24892949267089232]","[0.28316923076923078, 0.26730111975741927]","[0.29326666666666668, 0.28464699478913641]","[0.31285833333333335, 0.3021107300864701]","[0.32119999999999993, 0.31779858360601126]","[0.34164545454545459, 0.33190951523269896]","[0.34778999999999993, 0.34664598002100716]","[0.36860999999999999, 0.35792772243437609]","[0.37088888888888882, 0.37223230935871993]","[0.39212222222222226, 0.38131667713744083]","[0.41356666666666675, 0.38805170534572464]","[0.41073750000000003, 0.40362986880335966]","[0.43221250000000005, 0.40903950111944948]","[0.45323750000000013, 0.41250948783079777]","[0.47427499999999995, 0.41431948226382953]","[0.46410000000000012, 0.43363133880776256]","[0.48487142857142862, 0.43546881414630689]","[0.50564285714285717, 0.43560056637208056]","[0.52611428571428565, 0.43509451891207135]"
"[0.20845000000000002, 0.14409823826047521]","[0.22117647058823528, 0.17085207814144718]","[0.23410625000000002, 0.19650680369213017]","[0.2470933333333333, 0.22094593146146657]","[0.26000714285714283, 0.2445483775451934]","[0.27178461538461546, 0.26576487243412161]","[0.29259999999999997, 0.2910087602092527]","[0.30396666666666666, 0.3103131355691009]","[0.31336363636363634, 0.32780608214538043]","[0.33599999999999997, 0.34753842538954272]","[0.34238000000000002, 0.36315807509497661]","[0.36608999999999997, 0.37893156951898049]","[0.36847777777777779, 0.39347078078763659]","[0.3928666666666667, 0.40611673391836839]","[0.41734444444444446, 0.41541038165211019]","[0.41343750000000001, 0.43046538069126505]","[0.43762500000000004, 0.43786148490204069]","[0.46221250000000014, 0.44280622732168845]","[0.4497000000000001, 0.46020126001542477]","[0.47352857142857147, 0.46454365114769125]","[0.49724285714285721, 0.4669098717989934]","[0.5207857142857143, 0.46687901684758298]","[0.54372857142857145, 0.46600050865103343]","[0.5192500000000001, 0.49021326209040555]","[0.54169999999999996, 0.48982180528795527]"
"[0.22334117647058821, 0.18141393319666477]","[0.23797500000000002, 0.21153519133209253]","[0.25270000000000004, 0.24010642348683711]","[0.26686428571428578, 0.26644982850518051]","[0.28050000000000003, 0.29140659126455715]","[0.29281666666666667, 0.31417370578811032]","[0.31836666666666663, 0.34433072806759146]","[0.32846363636363635, 0.36314281193287268]","[0.33536000000000005, 0.37965909487421862]","[0.36293000000000003, 0.40350370706868088]","[0.36527777777777781, 0.41756092461392036]","[0.39327777777777778, 0.43688047911763922]","[0.42268888888888889, 0.45083301642542334]","[0.41728749999999998, 0.46507873459530485]","[0.44598750000000004, 0.47605504227022655]","[0.47507499999999997, 0.48276954731385746]","[0.45904285714285714, 0.49890618001197456]","[0.48737142857142862, 0.50531698460835328]","[0.51559999999999995, 0.50828459806249993]","[0.54311428571428566, 0.50813041811736048]","[0.51206666666666678, 0.53052894841224696]","[0.53911666666666658, 0.53153167052826489]","[0.56576666666666653, 0.53056498925161866]","[0.59094999999999998, 0.52802000341792321]","[0.61606666666666665, 0.52446878432609689]"
"[0.24358125, 0.23448363432595262]","[0.25138571428571432, 0.25244741649912139]","[0.27649285714285715, 0.29667632221053142]","[0.29236923076923077, 0.32603351978785683]","[0.30630000000000007, 0.35260620068952792]","[0.31830000000000003, 0.37667201948778489]","[0.35058181818181822, 0.41401764596740626]","[0.35845000000000005, 0.43268870935310116]","[0.36052222222222224, 0.44557324254497543]","[0.39527777777777784, 0.47731874018441794]","[0.38843750000000005, 0.48517459979002381]","[0.42351250000000012, 0.51169447589012751]","[0.46042500000000003, 0.53003284894881308]","[0.43870000000000003, 0.53756267465271468]","[0.47458571428571433, 0.55448517178413659]","[0.51067142857142866, 0.56403162900909432]","[0.54602857142857142, 0.56788929410359357]","[0.50399999999999989, 0.58335751578568806]","[0.53891666666666682, 0.58942568555148878]","[0.57138333333333347, 0.59110714284062615]","[0.60470000000000013, 0.58927111289733403]","[0.63564999999999994, 0.58473084464236935]","[0.56811999999999996, 0.61261633457839926]","[0.60002, 0.61228109951087595]","[0.62957999999999992, 0.60976466683139652]"
"[0.25859285714285718, 0.28112063987172525]","[0.27539230769230777, 0.31824980364151179]","[0.29101666666666665, 0.35209435695623514]","[0.3041272727272728, 0.38091342291618946]","[0.3426727272727273, 0.44343356430119618]","[0.35171999999999998, 0.46477362545078066]","[0.35434444444444441, 0.47699159698931237]","[0.39867777777777774, 0.53437460702225037]","[0.38830000000000009, 0.53333489579418725]","[0.43578750000000011, 0.58617783791507549]","[0.40727142857142845, 0.56697277479002894]","[0.45511428571428564, 0.61731055044143879]","[0.50871428571428567, 0.65495365241356929]","[0.44933333333333331, 0.62351478913204228]","[0.49724999999999991, 0.66383755242566234]","[0.54871666666666663, 0.6909691734973733]","[0.60070000000000012, 0.70485992457269719]","[0.49769999999999986, 0.67541502897118799]","[0.54404000000000008, 0.70466003606594374]","[0.59145999999999999, 0.72147037344576859]","[0.63834000000000002, 0.72689890819519498]","[0.6847399999999999, 0.72487239757498934]","[0.72897999999999996, 0.7198835705448664]","[0.77202000000000004, 0.71268503490173696]","[0.60894999999999988, 0.73905053414514854]"
"[0.29021538461538465, 0.37240859082967126]","[0.31134166666666668, 0.4231588938452816]","[0.32886363636363641, 0.46435031878347971]","[0.34043000000000001, 0.49390450981247797]","[0.34228888888888886, 0.50214260451420545]","[0.41276666666666667, 0.65361524377304114]","[0.39019999999999999, 0.60767935696302278]","[0.35798571428571424, 0.5395251319289176]","[0.42437142857142857, 0.68161219447424581]","[0.3567499999999999, 0.53317241699812734]","[0.41301666666666659, 0.64962035619555325]","[0.33133999999999997, 0.46863435765461559]","[0.36681999999999998, 0.54341962186627235]","[0.41706000000000004, 0.64246074395082475]","[0.31154999999999988, 0.40833141877051371]","[0.33592499999999992, 0.45993504253423573]","[0.36482499999999995, 0.5171764513395225]","[0.40415000000000001, 0.588657482449637]","[0.46004999999999996, 0.68192757203738275]","[0.29876666666666668, 0.35087231046683681]","[0.31459999999999999, 0.38223930191297112]","[0.33313333333333334, 0.41755835904943994]","[0.35469999999999996, 0.45576692724307127]","[0.38076666666666653, 0.49858543549196654]","[0.41309999999999986, 0.54787604557966707]"
"[0.30613636363636365, 0.45533819800381181]","[0.3203200000000001, 0.49657084080348274]","[0.32417777777777773, 0.50624157981694362]","[0.3152875, 0.47674518100511065]","[0.29871428571428582, 0.4256685835683689]","[0.34330000000000011, 0.55007890540756854]","[0.3024, 0.42897188577472239]","[0.34356666666666674, 0.53838268935198208]","[0.28974, 0.38480029469124732]","[0.31690000000000007, 0.4541116582205425]","[0.35632000000000008, 0.5510300870572431]","[0.28072500000000011, 0.34559129601383853]","[0.29947500000000005, 0.39085663718699526]","[0.32304999999999995, 0.44549568429884656]","[0.35455000000000003, 0.51535876194379227]","[0.40590000000000004, 0.62278160791506643]","[0.27590000000000003, 0.30670323491981544]","[0.28953333333333342, 0.33629302932353811]","[0.30509999999999993, 0.36886745010596178]","[0.32340000000000008, 0.40583855067739549]","[0.34573333333333328, 0.44827851030597232]","[0.37366666666666681, 0.49831784427569781]","[0.41070000000000001, 0.55958848272872308]","[0.48163333333333336, 0.66373353272211844]","[0.26495000000000024, 0.2315531232307981]"
"[0.2958777777777778, 0.45536519119988217]","[0.29111250000000005, 0.43280363389793441]","[0.27767142857142862, 0.38246026363699431]","[0.32080000000000003, 0.52122382691627978]","[0.28465000000000001, 0.39528797001443078]","[0.32401666666666668, 0.5135486800741631]","[0.27523999999999998, 0.35596069322648083]","[0.30047999999999997, 0.42602587747362958]","[0.33989999999999998, 0.5358324785267361]","[0.26975000000000005, 0.32372687914993664]","[0.28732499999999994, 0.36895044891186063]","[0.30952499999999994, 0.42484773675361825]","[0.34182499999999993, 0.50318104322880752]","[0.40595000000000003, 0.65368184273869612]","[0.26779999999999998, 0.29139343918703942]","[0.28049999999999997, 0.32040940783055749]","[0.29503333333333331, 0.35270165210613574]","[0.31260000000000004, 0.39006275054024947]","[0.33523333333333333, 0.43611784464007619]","[0.36369999999999997, 0.49126097565809113]","[0.40986666666666666, 0.57295835092330094]","[0.25274999999999981, 0.20989119683481647]","[0.25959999999999983, 0.22265023112480697]","[0.26719999999999988, 0.23652694610778341]","[0.27564999999999973, 0.25158715762742478]"
