"#Populations.cell.cellparams.b:[ 0.   ,  0.005,  0.01 ,  0.015,  0.02 ,  0.025,  0.03 ,  0.035,  0.04 ,  0.045,  0.05 ,  0.055,  0.06 ,  0.065,  0.07 ,  0.075, 0.08 ,  0.085,  0.09 ,  0.095,  0.1  ,  0.105,  0.11 ,  0.115,  0.12 ,  0.125]"
"#Populations.cell.cellparams.a:[  1.,   3.,   5.,   7.,   9.,  11.,  13. , 15.,  17.,  19.,  21. , 23. , 25.,  27.,  29.]"
"[0.15182400000000001, 0.0069288253273470787]","[0.17057272727272729, 0.049917687647702005]","[0.19142000000000006, 0.090634035769425247]","[0.2136888888888889, 0.1278916369210395]","[0.23649999999999999, 0.16136168873026596]","[0.25882142857142865, 0.19174990043460582]","[0.28449230769230771, 0.21700974035928014]","[0.31021666666666675, 0.23896146111764865]","[0.33547272727272726, 0.25854638733729196]","[0.35969999999999996, 0.27686651354451752]","[0.38223333333333337, 0.29468414464480136]","[0.41548888888888885, 0.29972090362153825]","[0.43554999999999999, 0.31675460388521021]","[0.46907500000000002, 0.31787996921365957]","[0.48511428571428566, 0.33604247148633143]","[0.51851428571428582, 0.33473974381429866]","[0.55170000000000008, 0.33225490432442145]","[0.56140000000000023, 0.35336557609188812]","[0.59406666666666663, 0.34976487067327505]","[0.62640000000000018, 0.34539797154731755]","[0.62628000000000006, 0.3711433340047906]","[0.65802000000000016, 0.36543841323413201]","[0.68933999999999995, 0.3592136349463404]","[0.7202400000000001, 0.35301790270178524]","[0.75065999999999988, 0.34710365734248433]","[0.73457499999999998, 0.38100450842511202]"
"[0.15779166666666666, 0.021679735177528973]","[0.17781428571428576, 0.066770052110836239]","[0.20017368421052631, 0.10939650694664552]","[0.22382941176470592, 0.14813530190735014]","[0.24776000000000006, 0.18283700098165218]","[0.27522857142857143, 0.21197147466254912]","[0.29739166666666667, 0.24079502187260124]","[0.32390909090909098, 0.26371135112394584]","[0.34936999999999996, 0.28443643802937502]","[0.38445000000000001, 0.29381166929494901]","[0.40841111111111111, 0.31099295390847037]","[0.42937500000000006, 0.32894957383147766]","[0.46492500000000003, 0.33076652978552906]","[0.48145714285714292, 0.34955679583336441]","[0.51672857142857143, 0.34821963324003224]","[0.55171428571428571, 0.34534063819618727]","[0.5611666666666667, 0.36680512559028616]","[0.59530000000000005, 0.36282217334508732]","[0.62891666666666668, 0.35801258164727978]","[0.62769999999999992, 0.38456064291955977]","[0.66047999999999996, 0.37825067730602591]","[0.69276000000000015, 0.37126661384249438]","[0.72441999999999995, 0.36406777706655469]","[0.7555400000000001, 0.35701856542226096]","[0.7374750000000001, 0.39097980897367418]","[0.7678250000000002, 0.38501912645877612]"
"[0.1645130434782609, 0.037802452114626538]","[0.18601500000000001, 0.085308649889183713]","[0.21005555555555552, 0.13025324588325438]","[0.23526875, 0.17055369041470134]","[0.26024285714285711, 0.20654280058485949]","[0.2895076923076923, 0.23689209593460175]","[0.31898333333333334, 0.26240201708756128]","[0.34787272727272733, 0.28422457883209834]","[0.37546999999999991, 0.30408948218302695]","[0.40081111111111112, 0.32292366447221393]","[0.42302500000000004, 0.34197795271462039]","[0.46108750000000004, 0.34486950622917945]","[0.47827142857142863, 0.36412128934179422]","[0.51578571428571418, 0.36298733442886866]","[0.5529142857142858, 0.35980593132891092]","[0.56218333333333326, 0.38155106662619093]","[0.59818333333333329, 0.37698034364188415]","[0.63336666666666674, 0.37163083990417706]","[0.63085999999999998, 0.398859359207343]","[0.66497999999999979, 0.39197160016436577]","[0.69835999999999998, 0.38413981050204571]","[0.73098000000000019, 0.375966248439777]","[0.76292000000000004, 0.36779599362478788]","[0.74272499999999997, 0.40184267610489149]","[0.77375000000000005, 0.39468867315004513]","[0.80380000000000018, 0.3883452577039474]"
"[0.17213181818181819, 0.056075267479113816]","[0.19523157894736839, 0.10625514695828529]","[0.22124705882352944, 0.15337316807181367]","[0.2481066666666667, 0.19553765897747744]","[0.27413846153846155, 0.23304558174002962]","[0.30515000000000003, 0.2649132217228497]","[0.33589090909090918, 0.2914252751272553]","[0.36546000000000012, 0.31451475211462687]","[0.39260000000000012, 0.33560236287340922]","[0.41622500000000007, 0.35618043995614462]","[0.4574125, 0.36056011987414877]","[0.47539999999999999, 0.38054740433959355]","[0.51575714285714291, 0.37968262033785255]","[0.55721428571428577, 0.37770606125380263]","[0.56446666666666667, 0.39820445687648581]","[0.60278333333333334, 0.39282233500770436]","[0.64003333333333334, 0.38664255471249237]","[0.63607999999999998, 0.41462998767986103]","[0.67178000000000004, 0.40719049551621933]","[0.70648000000000022, 0.39869635716848145]","[0.74026000000000014, 0.38925755477223534]","[0.77322000000000002, 0.37984621601098378]","[0.75057500000000021, 0.41386613354585639]","[0.78252500000000014, 0.40534653868405002]","[0.81347500000000017, 0.39790378328801462]","[0.84302500000000014, 0.39138200694966852]"
"[0.1808761904761905, 0.07681791298754849]","[0.20584999999999998, 0.12993426104958489]","[0.23405000000000001, 0.18004036491567108]","[0.26266428571428574, 0.22411876480252482]","[0.29703846153846153, 0.26231131159193516]","[0.32204545454545452, 0.29665195398812116]","[0.35387999999999997, 0.32451370951714015]","[0.38325555555555563, 0.3491598580020126]","[0.42851111111111118, 0.3590359087134512]","[0.45376250000000001, 0.3785458816210755]","[0.47289999999999993, 0.39951732134542933]","[0.51674285714285717, 0.39908762545451976]","[0.52641666666666664, 0.42185237235766948]","[0.56881666666666686, 0.41743408162198536]","[0.60970000000000002, 0.41100642230534939]","[0.60501999999999989, 0.43926488580458634]","[0.64402000000000004, 0.43230181607196699]","[0.68162000000000011, 0.42418586678377612]","[0.71777999999999986, 0.41493075021236586]","[0.7528800000000001, 0.40446982285947392]","[0.72687500000000005, 0.43899342185945106]","[0.76137500000000002, 0.42774864983102456]","[0.79474999999999996, 0.41745796349412528]","[0.82662499999999983, 0.40856770410111387]","[0.85717499999999991, 0.40089753965591218]","[0.8859499999999999, 0.39427467391389964]"
"[0.19087000000000004, 0.10082834322504189]","[0.21807647058823526, 0.15749795857581439]","[0.24881999999999999, 0.21094959193671706]","[0.27925384615384619, 0.25737516076573208]","[0.31660833333333332, 0.29754350895821979]","[0.34001000000000003, 0.33326771077981704]","[0.37217777777777777, 0.36272644554669442]","[0.42245555555555553, 0.37869933705471104]","[0.44982500000000009, 0.39992012729704979]","[0.47051428571428572, 0.42148751759562597]","[0.51911428571428575, 0.42196987558943372]","[0.52875000000000016, 0.44511956168673322]","[0.57496666666666674, 0.44054895652632803]","[0.6196666666666667, 0.4328151021584451]","[0.61284000000000005, 0.46097373548283499]","[0.65498000000000023, 0.45286116475189025]","[0.69502000000000019, 0.44390149001060775]","[0.73318000000000005, 0.43371877748365129]","[0.76998000000000022, 0.42220893860402997]","[0.73985000000000001, 0.45751110352547725]","[0.77610000000000012, 0.4440199475451716]","[0.81105000000000016, 0.43162031262733341]","[0.84435000000000027, 0.42091047763652456]","[0.87605000000000011, 0.41179882619744146]","[0.90562500000000024, 0.40420040798379275]","[0.9336000000000001, 0.39743851964203669]"
"[0.20281052631578947, 0.12926441543515796]","[0.23246250000000004, 0.19030393212144289]","[0.26617142857142856, 0.24719455995580367]","[0.2981166666666667, 0.29643139085342202]","[0.33902727272727279, 0.33963535349642288]","[0.37876999999999994, 0.37356076647190345]","[0.41526666666666662, 0.40083121259554116]","[0.44605, 0.42507364800818626]","[0.46828571428571414, 0.44814642529137433]","[0.52358571428571421, 0.44999301902086397]","[0.53318333333333323, 0.47320218260647279]","[0.58463333333333334, 0.46834901524683303]","[0.63400000000000001, 0.45914890615738368]","[0.62468000000000012, 0.48727518139769072]","[0.67064000000000012, 0.47734820891664975]","[0.7140399999999999, 0.46667099265066136]","[0.75483999999999984, 0.45552672150507784]","[0.71830000000000005, 0.49448800007430338]","[0.75805, 0.47957932943858173]","[0.79622500000000007, 0.46377288848402143]","[0.83332499999999998, 0.4484964009446657]","[0.86877499999999996, 0.43520808778724007]","[0.90202500000000019, 0.42420245360417863]","[0.93287500000000001, 0.41537726587601059]","[0.96150000000000013, 0.40775881168388378]","[0.89196666666666669, 0.46561150621652186]"
"[0.21395294117647057, 0.1597642942589981]","[0.24955333333333335, 0.22968157460380476]","[0.28686153846153845, 0.29222984258378093]","[0.32011818181818186, 0.34415053682644142]","[0.3645000000000001, 0.39107339408215325]","[0.40613333333333335, 0.42673240694484427]","[0.44136250000000005, 0.45581334783972427]","[0.46658571428571433, 0.48106044006203041]","[0.53058571428571433, 0.48610909868860241]","[0.5401999999999999, 0.509128568621939]","[0.59936666666666671, 0.50378746933068386]","[0.58720000000000006, 0.53153077295583206]","[0.64156000000000002, 0.52122272194842456]","[0.69310000000000005, 0.5077175375702293]","[0.74152000000000018, 0.49455343642460986]","[0.69800000000000006, 0.53691604756026134]","[0.74212500000000003, 0.52373979003273974]","[0.78392500000000009, 0.50725436337277907]","[0.82450000000000012, 0.48848845422375242]","[0.86420000000000019, 0.46985619053690025]","[0.90247500000000003, 0.45316236209143435]","[0.93812500000000021, 0.43933917560476898]","[0.97277500000000006, 0.42911597268548785]","[0.89383333333333337, 0.48719821536878255]","[0.92426666666666657, 0.47995735400265699]","[0.95223333333333349, 0.47298515580524064]"
"[0.23018125, 0.20082069433049848]","[0.27129285714285711, 0.28056214001661256]","[0.31287500000000007, 0.34956980673473775]","[0.34578999999999993, 0.40342865500604969]","[0.3938888888888889, 0.45587352627342459]","[0.435975, 0.49445960955544199]","[0.46511428571428581, 0.52380999134781359]","[0.54375714285714294, 0.5350350255684313]","[0.55248333333333344, 0.55809546324095327]","[0.62354999999999994, 0.55145651811151419]","[0.60622000000000009, 0.57912860634539487]","[0.66972000000000009, 0.56668943798552518]","[0.72910000000000008, 0.5483126204466694]","[0.67635000000000001, 0.58711240409844667]","[0.73112500000000002, 0.57543632104877662]","[0.78007500000000007, 0.56113761111329186]","[0.82492500000000013, 0.54302560363373165]","[0.86852499999999999, 0.52127042210947028]","[0.91107499999999986, 0.49831734314801485]","[0.95337500000000008, 0.47634500263932]","[0.86273333333333346, 0.52881961568617586]","[0.90529999999999988, 0.51547639820639224]","[0.9428333333333333, 0.50551521135798683]","[0.97563333333333324, 0.49747535980243418]","[1.0045333333333335, 0.49022870583506511]","[1.0305333333333333, 0.48299703240767]"
"[0.25057999999999997, 0.2544221773694027]","[0.2840333333333333, 0.32882199480929286]","[0.347409090909091, 0.42840962847801212]","[0.37673333333333336, 0.48304366362060913]","[0.42827499999999991, 0.54381685886829501]","[0.46600000000000003, 0.58435645244044976]","[0.48039999999999999, 0.60874916710804705]","[0.5802166666666666, 0.63483119756763262]","[0.55607999999999991, 0.65152637902489108]","[0.64622000000000002, 0.6524346439657972]","[0.72663999999999995, 0.63812778589106089]","[0.65047500000000003, 0.66789438634648923]","[0.72675000000000012, 0.6486429658814763]","[0.79704999999999993, 0.63111244297130564]","[0.85722499999999979, 0.61486480428309653]","[0.90734999999999999, 0.59541201733639249]","[0.95327499999999998, 0.57105311342381948]","[0.81996666666666662, 0.62604023339387493]","[0.87796666666666667, 0.59232549325979766]","[0.93630000000000002, 0.56371812852502456]","[0.99059999999999981, 0.54355923784289084]","[1.0374999999999999, 0.53040194645459748]","[1.0760000000000001, 0.52132315128503826]","[1.107, 0.51396832847782481]","[1.1329666666666667, 0.50686097386560325]","[1.1557333333333333, 0.49932586952797481]"
