"#Populations.cell.cellparams.b:[0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38]"
"#Populations.cell.cellparams.a:[1.0,3.0,5.0,7.0,9.0,11.0,13.0,15.0,17.0,19.0]"
"[26, 0.15182400000000001, 0.0069288253273470787]","[17, 0.23649999999999999, 0.16136168873026596]","[12, 0.33547272727272726, 0.25854638733729196]","[9, 0.43554999999999999, 0.31675460388521021]","[8, 0.55170000000000008, 0.33225490432442145]","[6, 0.62628000000000006, 0.3711433340047906]","[6, 0.75065999999999988, 0.34710365734248433]","[5, 0.82210000000000027, 0.36693485962813466]","[5, 0.93095000000000017, 0.34906415861488471]","[4, 0.9641333333333334, 0.37662878797438282]","[4, 1.0650000000000002, 0.34017534879662986]","[4, 1.1626333333333332, 0.29919117703394477]","[4, 1.2560666666666667, 0.26029207454447878]","[3, 1.2371500000000002, 0.26209432970941282]","[3, 1.327, 0.2280331574981157]","[3, 1.4109000000000003, 0.2007938195478064]","[3, 1.4895499999999999, 0.17874525863515819]","[3, 1.56345, 0.16063833189420831]","[3, 1.6331500000000001, 0.14557756482870532]","[3, 1.6992000000000003, 0.13288606403013181]"
"[25, 0.15779166666666666, 0.021679735177528973]","[16, 0.24776000000000006, 0.18283700098165218]","[11, 0.34936999999999996, 0.28443643802937502]","[9, 0.46492500000000003, 0.33076652978552906]","[7, 0.5611666666666667, 0.36680512559028616]","[6, 0.66047999999999996, 0.37825067730602591]","[5, 0.7374750000000001, 0.39097980897367418]","[5, 0.85404999999999998, 0.36999161742564507]","[5, 0.95962499999999995, 0.35011850730349336]","[4, 0.98776666666666679, 0.37459060272892464]","[4, 1.0853333333333335, 0.33401058890670232]","[4, 1.1793333333333333, 0.28955806153713021]","[4, 1.2684333333333335, 0.24853763860404268]","[3, 1.2494999999999998, 0.24633853541416523]","[3, 1.33405, 0.21239833589445672]","[3, 1.4119000000000002, 0.18563637651391723]","[3, 1.4838, 0.16430785820191388]","[3, 1.5505999999999998, 0.14697536437508035]","[3, 1.6129500000000001, 0.13264515329055462]","[3, 1.6714500000000001, 0.12064375243052432]"
"[24, 0.1645130434782609, 0.037802452114626538]","[15, 0.26024285714285711, 0.20654280058485949]","[11, 0.37546999999999991, 0.30408948218302695]","[8, 0.47827142857142863, 0.36412128934179422]","[7, 0.59818333333333329, 0.37698034364188415]","[6, 0.69835999999999998, 0.38413981050204571]","[5, 0.77375000000000005, 0.39468867315004513]","[5, 0.8883749999999998, 0.37240959587441214]","[4, 0.91513333333333347, 0.40603862303778793]","[4, 1.0134000000000001, 0.37121703489000413]","[4, 1.1079333333333337, 0.32616890472118848]","[4, 1.1988333333333334, 0.27830103051932215]","[4, 1.2838000000000001, 0.2354649259402391]","[3, 1.2655999999999998, 0.22961441213653586]","[3, 1.3450499999999999, 0.19631240474331804]","[3, 1.4170499999999999, 0.17045975794784937]","[3, 1.4825999999999999, 0.15007419398354238]","[3, 1.54295, 0.13367251045075992]","[3, 1.5987500000000001, 0.12025019546520735]","[3, 1.6505499999999997, 0.10908485050437723]"
"[23, 0.17213181818181819, 0.056075267479113816]","[14, 0.27413846153846155, 0.23304558174002962]","[10, 0.39260000000000012, 0.33560236287340922]","[8, 0.51575714285714291, 0.37968262033785255]","[7, 0.64003333333333334, 0.38664255471249237]","[6, 0.74026000000000014, 0.38925755477223534]","[5, 0.81347500000000017, 0.39790378328801462]","[5, 0.92510000000000003, 0.37460834152213568]","[4, 0.94610000000000005, 0.40621701971415486]","[4, 1.0412333333333335, 0.36683574597168467]","[4, 1.1333000000000002, 0.31697015002603096]","[4, 1.2215666666666669, 0.26561614111897647]","[3, 1.2014, 0.25511902780089912]","[3, 1.2854999999999999, 0.21229093737845159]","[3, 1.3599000000000001, 0.18001323626737237]","[3, 1.42625, 0.15540753724802797]","[3, 1.4859500000000003, 0.13617551061610447]","[3, 1.5402, 0.12082846383586528]","[3, 1.5899000000000005, 0.10837159569784281]","[3, 1.6358000000000001, 0.098055997065656]"
"[22, 0.1808761904761905, 0.07681791298754849]","[14, 0.29703846153846153, 0.26231131159193516]","[10, 0.42851111111111118, 0.3590359087134512]","[7, 0.52641666666666664, 0.42185237235766948]","[6, 0.64402000000000004, 0.43230181607196699]","[5, 0.72687500000000005, 0.43899342185945106]","[5, 0.85717499999999991, 0.40089753965591218]","[5, 0.96499999999999997, 0.37666017557310383]","[4, 0.97986666666666666, 0.40590138008094667]","[4, 1.0721000000000001, 0.36142258794056936]","[4, 1.1623000000000003, 0.30625905125434755]","[4, 1.2484, 0.25148644366964795]","[3, 1.2299499999999999, 0.23631041912272865]","[3, 1.3100500000000002, 0.19438189382084653]","[3, 1.3793499999999999, 0.16351904882734616]","[3, 1.44025, 0.14035757680958186]","[3, 1.4941500000000001, 0.12244419904293422]","[3, 1.5427500000000001, 0.10828066763895663]","[3, 1.5868, 0.096861608268212718]","[3, 1.6273000000000002, 0.087445461807902844]"
"[21, 0.19087000000000004, 0.10082834322504189]","[13, 0.31660833333333332, 0.29754350895821979]","[9, 0.44982500000000009, 0.39992012729704979]","[7, 0.57496666666666674, 0.44054895652632803]","[6, 0.69502000000000019, 0.44390149001060775]","[5, 0.77610000000000012, 0.4440199475451716]","[5, 0.90562500000000024, 0.40420040798379275]","[4, 0.92236666666666689, 0.44028019624692449]","[4, 1.0172000000000001, 0.40543869957828005]","[4, 1.1068333333333336, 0.35530869878787225]","[4, 1.1960999999999999, 0.29435067539649112]","[4, 1.2805333333333333, 0.23608297281677326]","[3, 1.2642000000000004, 0.21650055370985599]","[3, 1.3402500000000004, 0.17597463159858256]","[3, 1.40445, 0.14685464060664322]","[3, 1.4597, 0.12529971912036708]","[3, 1.5081500000000003, 0.10884195869111132]","[3, 1.5512000000000004, 0.095925734914904734]","[3, 1.5900000000000005, 0.085534591194968465]","[3, 1.6252000000000002, 0.077036672409549714]"
"[20, 0.20281052631578947, 0.12926441543515796]","[12, 0.33902727272727279, 0.33963535349642288]","[8, 0.46828571428571414, 0.44814642529137433]","[7, 0.63400000000000001, 0.45914890615738368]","[6, 0.75483999999999984, 0.45552672150507784]","[5, 0.83332499999999998, 0.4484964009446657]","[5, 0.96150000000000013, 0.40775881168388378]","[4, 0.96930000000000005, 0.44435681070975325]","[4, 1.0598333333333334, 0.40495328875374925]","[4, 1.1479333333333333, 0.34829294176668008]","[4, 1.237233333333333, 0.28052444418214945]","[3, 1.2188999999999999, 0.25153827221265057]","[3, 1.3072000000000001, 0.19507343941248476]","[3, 1.3787, 0.1564517298904767]","[3, 1.4375500000000001, 0.12942158533616224]","[3, 1.4871999999999999, 0.10973641742872484]","[3, 1.5298999999999998, 0.094842800183018508]","[3, 1.56755, 0.083219036075404554]","[3, 1.6010000000000002, 0.073953778888195182]","[3, 1.6312999999999998, 0.066388769692882751]"
"[18, 0.21395294117647057, 0.1597642942589981]","[11, 0.3645000000000001, 0.39107339408215325]","[8, 0.53058571428571433, 0.48610909868860241]","[6, 0.64156000000000002, 0.52122272194842456]","[5, 0.74212500000000003, 0.52373979003273974]","[5, 0.90247500000000003, 0.45316236209143435]","[4, 0.92426666666666657, 0.47995735400265699]","[4, 1.0249666666666666, 0.44969915975803454]","[4, 1.1111, 0.40528180424291371]","[4, 1.1983333333333337, 0.34100392421713188]","[4, 1.2894666666666665, 0.26495583451512039]","[3, 1.2768000000000004, 0.22713032581453649]","[3, 1.3630000000000002, 0.17153338224504749]","[3, 1.4295500000000001, 0.13532230422160796]","[3, 1.4825000000000002, 0.11069139966273195]","[3, 1.5260999999999998, 0.093047637769477554]","[3, 1.5629500000000001, 0.079880994273648989]","[3, 1.5949500000000001, 0.069688704975077634]","[3, 1.6230999999999998, 0.061610498428931945]","[3, 1.6481500000000004, 0.055061735885690063]"
"[17, 0.23018125, 0.20082069433049848]","[10, 0.3938888888888889, 0.45587352627342459]","[7, 0.55248333333333344, 0.55809546324095327]","[6, 0.72910000000000008, 0.5483126204466694]","[5, 0.82492500000000013, 0.54302560363373165]","[4, 0.86273333333333346, 0.52881961568617586]","[4, 1.0045333333333335, 0.49022870583506511]","[4, 1.0974666666666668, 0.45742242019762402]","[4, 1.1784333333333334, 0.40736647698516948]","[4, 1.2660666666666665, 0.33343350343056849]","[3, 1.24335, 0.2854787469336873]","[3, 1.3587000000000002, 0.19732096857290055]","[3, 1.44285, 0.14315417403056452]","[3, 1.50345, 0.11011340583325026]","[3, 1.5493000000000001, 0.088491576841154204]","[3, 1.58575, 0.07337222134636591]","[3, 1.6157499999999998, 0.062231161999071458]","[3, 1.6412, 0.053741165001218387]","[3, 1.6632000000000002, 0.047017797017797174]","[3, 1.6824000000000003, 0.041607227769852755]"
"[16, 0.25057999999999997, 0.2544221773694027]","[9, 0.42827499999999991, 0.54381685886829501]","[6, 0.55607999999999991, 0.65152637902489108]","[5, 0.72675000000000012, 0.6486429658814763]","[5, 0.95327499999999998, 0.57105311342381948]","[4, 0.99059999999999981, 0.54355923784289084]","[4, 1.1329666666666667, 0.50686097386560325]","[4, 1.2126000000000003, 0.47147752936019244]","[4, 1.2849333333333333, 0.41504800627456079]","[3, 1.21235, 0.39200725862993374]","[3, 1.3669499999999999, 0.25286221149273919]","[3, 1.4999999999999998, 0.15279999999999991]","[3, 1.583, 0.10018951358180675]","[3, 1.6341500000000002, 0.072055808830278872]","[3, 1.6685999999999999, 0.05513604219105829]","[3, 1.6939000000000004, 0.043922309463368822]","[3, 1.7135, 0.035949810329734516]","[3, 1.7293000000000001, 0.030012143641936332]","[3, 1.7422000000000002, 0.025427620250258548]","[3, 1.7530999999999997, 0.021789972049512302]"
