"#Populations.cell.cellparams.b:[0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38]"
"#Populations.cell.cellparams.a:[1.0,3.0,5.0,7.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,27.0,29.0,31.0,33.0,35.0,37.0,39.0]"
"[20, 0.19711052631578946, 0.0043076488584517809]","[11, 0.38160000000000005, 0.36348471625876655]","[6, 0.50418000000000007, 0.54720687827829029]","[5, 0.86902500000000016, 0.74148701435898323]","[4, 1.0818666666666665, 0.78638951094582688]","[3, 0.93230000000000013, 0.63026922664378426]","[3, 1.5005000000000002, 0.72275908030656455]","[2, 0.5293000000000001, 0.0]","[2, 0.73029999999999973, 0.0]","[2, 1.1086, 0.0]","[2, 1.6720999999999999, 0.0]","[2, 2.2494000000000005, 0.0]","[2, 2.7764999999999995, 0.0]","[2, 3.2571000000000003, 0.0]","[2, 3.6985999999999999, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[20, 0.20049473684210525, 0.013406246709816504]","[10, 0.36727777777777776, 0.35465037223442147]","[6, 0.53269999999999995, 0.5901277879739516]","[5, 0.92874999999999985, 0.76994765473525373]","[4, 1.1466333333333332, 0.8092079460749616]","[3, 0.98445000000000005, 0.64873787393976368]","[3, 1.5769500000000003, 0.73493135483052718]","[2, 0.53370000000000006, 0.0]","[2, 0.74250000000000016, 0.0]","[2, 1.1480999999999999, 0.0]","[2, 1.7579000000000002, 0.0]","[2, 2.3636000000000004, 0.0]","[2, 2.9019999999999997, 0.0]","[2, 3.3831000000000002, 0.0]","[2, 3.8181999999999996, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[19, 0.20374444444444442, 0.022171898772191702]","[10, 0.38443333333333335, 0.38908346773691427]","[6, 0.56816, 0.64034970993612383]","[4, 0.56940000000000002, 0.58279805922384564]","[4, 1.2212333333333334, 0.83265711644693263]","[3, 1.04745, 0.6686238006587425]","[3, 1.6652499999999999, 0.74760546464494837]","[2, 0.53869999999999996, 0.0]","[2, 0.75660000000000016, 0.0]","[2, 1.1957, 0.0]","[2, 1.8622000000000005, 0.0]","[2, 2.4999000000000002, 0.0]","[2, 3.0499000000000001, 0.0]","[2, 3.5313999999999997, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[19, 0.20753888888888888, 0.032301535017106753]","[10, 0.40565555555555549, 0.43111652532725148]","[6, 0.61338000000000004, 0.6995805916843979]","[4, 0.60040000000000004, 0.61793588623802398]","[3, 0.52655000000000007, 0.43329218497768501]","[3, 1.1247, 0.69013959278029657]","[3, 1.7687000000000006, 0.76095437326850213]","[2, 0.54430000000000023, 0.0]","[2, 0.77249999999999996, 0.0]","[2, 1.2537000000000003, 0.0]","[2, 1.9914000000000009, 0.0]","[2, 2.6651000000000002, 0.0]","[2, 3.2270999999999996, 0.0]","[2, 3.7088000000000005, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[19, 0.21172777777777779, 0.043264178535662667]","[9, 0.37852500000000006, 0.3979349631156609]","[6, 0.67254000000000014, 0.76964026267049135]","[4, 0.64003333333333334, 0.65917566325083254]","[3, 0.54214999999999991, 0.44775431153739753]","[3, 1.22265, 0.71365476628634539]","[3, 1.8934000000000004, 0.77521918242315402]","[2, 0.55040000000000022, 0.0]","[2, 0.79090000000000016, 0.0]","[2, 1.3266, 0.0]","[2, 2.1567000000000003, 0.0]","[2, 2.8710999999999998, 0.0]","[2, 3.4456000000000002, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[18, 0.21515294117647055, 0.052482444076881518]","[9, 0.39958749999999998, 0.44440734263942488]","[6, 0.75253999999999999, 0.85210825485075903]","[4, 0.69296666666666662, 0.70866606983438174]","[3, 0.5605, 0.46387154326494201]","[3, 1.3512499999999998, 0.73964847363552266]","[2, 0.42879999999999985, 0.0]","[2, 0.55730000000000013, 0.0]","[2, 0.81220000000000026, 0.0]","[2, 1.4220999999999995, 0.0]","[2, 2.3778000000000006, 0.0]","[2, 3.1386000000000003, 0.0]","[2, 3.7259000000000002, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[18, 0.2199294117647059, 0.065011933343117057]","[9, 0.42758750000000001, 0.50654522816323577]","[5, 0.47062500000000007, 0.53788193558296138]","[4, 0.76890000000000003, 0.77036385334272262]","[3, 0.58204999999999996, 0.48183145777854119]","[3, 1.53165, 0.76907256879835473]","[2, 0.43210000000000015, 0.0]","[2, 0.56479999999999997, 0.0]","[2, 0.83680000000000021, 0.0]","[2, 1.5539000000000001, 0.0]","[2, 2.6938000000000004, 0.0]","[2, 3.5080999999999998, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[18, 0.22524117647058822, 0.0789364223635316]","[9, 0.46900000000000003, 0.59860814864343004]","[5, 0.50122499999999992, 0.59133440144585658]","[4, 0.89263333333333328, 0.85222766412167594]","[3, 0.60885000000000011, 0.50250472201691698]","[3, 1.8166999999999998, 0.80420542742334988]","[2, 0.43580000000000041, 0.0]","[2, 0.57319999999999993, 0.0]","[2, 0.8660000000000001, 0.0]","[2, 1.7593000000000001, 0.0]","[2, 3.2096999999999993, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[17, 0.22880624999999999, 0.08866609436461366]","[8, 0.40184285714285711, 0.47552084457730381]","[5, 0.54505000000000003, 0.66343743037908454]","[4, 1.1901000000000002, 0.98617452642940595]","[3, 0.64300000000000024, 0.52674961119751185]","[2, 0.35789999999999988, 0.0]","[2, 0.43969999999999976, 0.0]","[2, 0.58220000000000027, 0.0]","[2, 0.90079999999999982, 0.0]","[2, 2.1760999999999999, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[17, 0.23486250000000003, 0.10485175601507098]","[8, 0.43554285714285701, 0.55946729914048232]","[5, 0.62597499999999995, 0.78122134582264602]","[3, 0.36704999999999988, 0.27176134041683764]","[3, 0.68889999999999985, 0.55624909275656853]","[2, 0.36019999999999985, 0.0]","[2, 0.44399999999999951, 0.0]","[2, 0.59240000000000004, 0.0]","[2, 0.94430000000000014, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[16, 0.23826666666666671, 0.11417422964695044]","[8, 0.5011000000000001, 0.72715753615789325]","[4, 0.35573333333333323, 0.31720344077308005]","[3, 0.37259999999999982, 0.27965646806226546]","[3, 0.76204999999999989, 0.59661439538088057]","[2, 0.36280000000000001, 0.0]","[2, 0.44879999999999987, 0.0]","[2, 0.60389999999999988, 0.0]","[2, 1.0013000000000001, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[16, 0.24546000000000001, 0.13349309591231215]","[7, 0.38100000000000001, 0.44135669537736461]","[4, 0.36343333333333333, 0.33220637501877232]","[3, 0.37845000000000018, 0.28788479323556565]","[3, 0.92274999999999996, 0.66523977241939858]","[2, 0.36529999999999996, 0.0]","[2, 0.45350000000000001, 0.0]","[2, 0.61599999999999966, 0.0]","[2, 1.0782000000000003, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[16, 0.25381333333333334, 0.15654724674693704]","[7, 0.40713333333333329, 0.51037305515471521]","[4, 0.3721000000000001, 0.34894943829706976]","[3, 0.38475000000000015, 0.296686159844055]","[2, 0.31059999999999999, 0.0]","[2, 0.36810000000000009, 0.0]","[2, 0.4588000000000001, 0.0]","[2, 0.62979999999999992, 0.0]","[2, 1.2049000000000003, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[15, 0.25661428571428574, 0.16496117559379031]","[7, 0.45488333333333336, 0.63879165676020255]","[4, 0.38236666666666652, 0.36814131022737862]","[3, 0.3919499999999998, 0.30628906748309692]","[2, 0.3125, 0.0]","[2, 0.37109999999999976, 0.0]","[2, 0.4645999999999999, 0.0]","[2, 0.64569999999999972, 0.0]","[2, 1.6619999999999999, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[15, 0.26697142857142858, 0.19423182804172473]","[6, 0.34414, 0.3517351466094859]","[4, 0.39386666666666681, 0.38966143940845421]","[3, 0.39979999999999993, 0.31665832916458192]","[2, 0.31449999999999978, 0.0]","[2, 0.3743000000000003, 0.0]","[2, 0.47080000000000011, 0.0]","[2, 0.66360000000000019, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[14, 0.26882307692307694, 0.20011961538933465]","[6, 0.35754000000000008, 0.38626223985987251]","[4, 0.40773333333333345, 0.4149972248140999]","[3, 0.40865000000000018, 0.32803132264774187]","[2, 0.31640000000000024, 0.0]","[2, 0.37750000000000039, 0.0]","[2, 0.47720000000000029, 0.0]","[2, 0.68380000000000019, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
